id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at,status_verified_at
b6f4549c-cfb3-4036-b6e6-2af4f49aa57e,geography.zone,available,14.99,50.99,medium,high,9,name.com,,,
4a60e91b-9ef6-4d7e-a9ce-5542ee9361bf,geography.space,premium,812.5,3250,medium,high,9,namecheap,,,
e1dec398-6d92-4481-9690-7363c084dab7,geography.site,premium,312.5,1250,medium,high,9,name.com,,,
50056acd-357f-4cc8-835c-90713808d6bf,geography.us,resell,,,medium,high,9,"GoDaddy.com, LLC",24/04/2002 14:05,23/04/2026 23:59,
815e283f-47d3-49ec-9805-a2c86c6642fb,geography.io,available,,,medium,high,9,,,,
e51eaf78-cea9-4df2-9ae3-7add1623c3f5,map.fail,resell,,,high,medium,3,"NameCheap, Inc.",30/06/2024 01:29,30/06/2026 01:29,
c1ea8d53-ad34-4f2b-9e42-a9ca4c74b54f,region.xyz,resell,,,high,low,6,Dynadot LLC,04/05/2017 08:14,04/05/2029 23:59,
beee7016-379f-4c88-902a-cc8ee51a6060,map.space,premium,1625,6500,high,medium,3,namecheap,,,
90f96844-2868-407c-abf4-58d091ac9f68,map.country,available,,,high,low,3,,,,
6bf6c6ea-8d06-497d-b1d5-b6856e6fc66f,geography.online,premium,781.25,3125,medium,high,9,name.com,,,
072b6655-bc05-43fc-807b-fd7e97b3cc24,geography.expert,available,11.99,79.99,medium,high,9,name.com,,,
b0220616-8618-420d-836c-170516dfb51d,geography.tech,premium,325,1300,medium,high,9,namecheap,,,
97aa8baf-5474-40d2-b694-c70b37a9cc88,map.site,premium,1562.5,6250,high,medium,3,name.com,,,
a4630424-89a4-4ad8-b16d-3c03b70b6503,geography.xyz,resell,,,medium,high,9,"Go Daddy, LLC",02/06/2014 17:10,02/06/2026 23:59,
97490dc2-e4af-4af3-9848-85f008a3b01c,map.green,premium,650,650,high,medium,3,namecheap,,,
7e7a88dc-ef44-46af-bac7-647f6e97bfb6,geography.ninja,available,9.99,39.99,medium,high,9,name.com,,,
5781aa89-0465-474f-8ebb-a62f7a604448,map.organic,available,19.99,,high,medium,3,name.com,,,
8786abba-67e2-415f-899e-8235aa7973a4,map.land,resell,,,high,medium,3,Porkbun LLC,08/05/2025 18:38,08/05/2027 18:38,
350fb60a-7412-401b-87dc-a78f97ac16fe,map.bayern,premium,117.53,,high,medium,3,name.com,,,
e1290741-3aba-4fa3-8791-78ee54f9ffd9,geography.store,premium,156.25,625,medium,high,9,name.com,,,
c22b98d6-0e74-4f2a-b511-eaefd1f6f3ed,spatial.barcelona,available,38.98,38.98,medium,high,7,namecheap,,,10/09/2026 15:07
771361df-fb93-42b9-8922-207bf0a719a5,map.io,resell,,,high,medium,3,Atom.com Domains LLC,16/10/2010 23:06,16/10/2027 23:06,
4bb16e38-0d59-4436-befc-de2ac10dc681,earth.engineering,resell,,,medium,medium,5,"Sav.com, LLC - 18",16/10/2025 15:15,16/10/2026 15:15,
8e88ad93-538b-4f7a-8735-b414329797b1,map.city,resell,,,high,low,3,Dynadot Inc,05/08/2015 16:00,05/08/2027 16:00,20/09/2026 12:47
16c40ac4-fc2a-4366-9dab-b1a44f1f63ea,maps.pw,premium,1872.92,3745.83,medium,low,4,name.com,,,
9255a4b0-f424-4977-a16f-2d00fabd12ea,maps.industries,available,17.49,65.99,medium,low,4,name.com,,,
441aaa4c-0449-4d0f-9368-1eda6d92da1e,spatial.cv,premium,1309.75,19.5,medium,high,7,namecheap,,,10/09/2026 15:07
d6f9c207-92e3-4f95-a5c6-6e23ea5b6781,maps.gift,available,14.99,14.99,medium,low,4,namesilo,,,
1f970987-c05e-4695-92c0-ff8d6182d025,maps.lease,available,14.99,71.99,medium,low,4,name.com,,,
fdd5c37b-52b4-4deb-a4a7-52ab28beccf8,geographic.garden,available,1.98,43.98,low,low,10,namecheap,,,18/08/2026 22:27
856a5cfc-f705-4d25-943e-dbcba0bd7147,map.vegas,premium,260,129.94,high,medium,3,namecheap,,,
8fadaa8c-9b40-44eb-bb8a-f243d74f63b9,map.osaka,available,,,high,low,3,,,,
a695eb17-7259-4fb6-a721-d0fde0bae443,map.spot,premium,3250,3250,high,medium,3,namecheap,,,
a45772b1-7812-404e-9bbd-2c1537587a91,spatial.cricket,available,23.59,23.59,medium,high,7,namesilo,,,10/09/2026 15:07
bdf3775b-41b9-4cd4-b528-ab09e57f67d5,maps.equipment,available,19.99,41.99,medium,low,4,name.com,,,
2bc63948-278c-4ee8-95e0-dbbdec3932ee,map.hamburg,resell,,,high,medium,3,,20/04/2016 14:44,20/04/2027 14:44,
ca494527-e95a-425a-bea2-81e900c4922a,map.asia,available,,,high,low,3,,,,
37768bd3-e461-4b02-8717-65c2f250b503,map.berlin,resell,,,high,medium,3,,27/11/2015 16:02,27/11/2027 16:02,
eddcfc85-bc17-4728-aaf2-49c4df823c09,map.london,premium,1385.92,34.65,high,medium,3,namecheap,,,
4c29113a-7a92-4827-92e8-70f70b2769a0,maps.gmbh,available,45.99,45.99,medium,low,4,namesilo,,,
2c81085d-a020-45eb-9e4a-b9570372fa03,map.sydney,available,,,high,low,3,,,,
97214d4f-26a8-4a40-972b-d1d3bc2c9256,map.melbourne,premium,431.69,431.69,high,medium,3,namecheap,,,
364ea880-4f41-4bc4-86a5-b816fda806d4,maps.limo,available,19.99,71.99,medium,low,4,name.com,,,
8207f196-5f1e-4a04-8bc6-837148891dc6,map.nyc,available,,,high,low,3,,,,
38cff443-886f-45bc-9b62-83691c3a1cd9,environment.black,available,27.99,64.99,medium,low,11,namesilo,,,19/09/2026 04:45
da112f37-3e99-4b9f-b990-941fbc1d139f,maps.bar,premium,1968.75,2812.5,medium,low,4,name.com,,,
6c810889-ed33-431e-b383-1d40de4c4809,mountain.house,resell,,,high,low,8,Porkbun LLC,06/02/2017 11:13,06/02/2027 11:13,
15c86511-4d9d-4bbb-9daa-6d5aee3e3012,map.mx,available,,,high,low,3,,,,
b1c20c11-2c79-4c23-92bd-f5656b003464,maps.mov,premium,1248.75,1248.75,medium,low,4,name.com,,,
e047d8ea-c411-4cda-b2dd-49fd9f7c2b9b,geographic.country,available,2298,2450,low,low,10,namecheap,,,18/08/2026 22:27
e8d3733f-4383-46aa-8566-53e5f6fd0e9b,map.archi,available,24.99,,high,medium,3,name.com,,,
9fe3edc2-141a-41eb-a9f4-fb4a55be7aa2,spatial.club,premium,960,17.7,medium,high,7,namesilo,,,10/09/2026 15:07
0394026e-8147-48d9-9aab-5022808be304,map.im,available,,,high,low,3,,,,
7b35de6a-499a-49e6-a689-2c4961bb6d1c,atlas.sh,resell,,,medium,low,5,,,,20/09/2026 21:47
511cbd08-0fc9-4430-91f3-f363b6d52f23,map.quest,premium,10400,10400,high,medium,3,namecheap,,,
e10a2f72-a434-4397-99b5-8b72e6b31a77,maps.charity,available,5.99,40.99,medium,low,4,name.com,,,
222be03f-e78c-4c2d-8b4d-b3a51403e860,map.reise,available,99.99,,high,medium,3,name.com,,,
dacc0b4d-1a1f-4f28-ba12-c2b47d070169,map.tours,resell,,,high,low,3,"Network Solutions, LLC",08/12/2024 18:33,08/12/2026 18:33,
7db24876-d10a-4fdb-a45f-1c0511363e7f,map.vacations,resell,,,high,medium,3,"Global Domains International, Inc. DBA DomainCostClub.com",01/08/2021 19:31,01/08/2027 19:31,20/09/2026 09:38
93e09f97-d722-4bba-bd74-0e1f134657a0,map.flights,premium,260,260,high,medium,3,namecheap,,,
4d60112b-4eaf-452e-9c91-ec628c5d53b7,map.viajes,available,37.99,37.99,high,medium,3,namesilo,,,
0027b38e-6e7a-4c94-a250-ac6dad3c9aa6,map.science,premium,650,84.5,high,medium,3,namecheap,,,
5043d836-152e-4260-8711-d1a8f5dd9d50,maps.webcam,premium,625,81.25,medium,low,4,name.com,,,
c81b720c-de73-439e-81e7-95dae0fec8c0,map.property,available,,,high,low,3,,,,
6f2a96f3-9411-4bdf-b203-d22ee9ee55c3,maps.zone,resell,,,medium,low,4,"NameCheap, Inc.",20/01/2026 16:34,20/01/2027 16:34,
2e4d2918-1027-4807-b592-5be80d96a8df,geographic.realty,available,99.8,456.98,low,low,10,namecheap,,,18/08/2026 22:27
256cae2b-3fb0-43c3-bb88-67e2a37d041c,map.realty,premium,4550,6500,high,medium,3,namecheap,,,
0fa1b5c3-0ea4-4713-a61a-2425a7839418,map.apartments,premium,128.7,128.7,high,medium,3,namecheap,,,
40d42f77-fd82-4664-bddb-bb7cdcdbda06,map.villas,premium,128.7,128.7,high,medium,3,namecheap,,,
c3ef66ad-a3bd-4aa3-bb4f-d254188fefad,map.rentals,premium,128.7,128.7,high,medium,3,namecheap,,,
286cf669-262c-4345-a9fa-a35a27cb907f,map.condos,premium,128.7,128.7,high,medium,3,namecheap,,,
bf36e250-6452-4f67-b6eb-7bfd739e10b5,map.homes,premium,118450,,high,medium,3,"Spaceship, Inc.",14/07/2021 02:43,14/07/2026 23:59,
9ec09b7c-c16d-45d8-9e05-0837a95d8e4d,map.maison,available,19.99,,high,medium,3,name.com,,,
f7b6fcd7-0e16-4728-89b9-5769ed260abf,map.pw,premium,3250,3250,high,medium,3,namecheap,,,
8257a892-ff19-4fec-b064-83276448d542,spatial.country,available,2298,2450,medium,high,7,namecheap,,,10/09/2026 15:07
00543221-1158-434e-849d-07482e0ef22b,map.me,available,,,high,low,3,,,,
4b802ac1-b43d-4f62-8842-9daada0734db,map.irish,premium,260,260,high,medium,3,namecheap,,,
f6dcba09-0b83-4cf2-a176-dee5c20a6ff9,map.co,resell,263769.75,48.99,high,medium,3,"GoDaddy.com, LLC",24/02/2010 22:43,23/02/2027 23:59,
a8ca68a4-5a3d-47e6-9446-9ef760e94fd3,geographic.house,available,12.98,55.98,low,low,10,namecheap,,,18/08/2026 22:27
b5e0cf6a-e8b2-423d-99fd-26583bbd214a,map.online,premium,3125,12500,high,medium,3,name.com,,,
0726b9c6-d948-4e7b-a4aa-241c343af1e0,map.cruises,premium,128.7,128.7,high,medium,3,namecheap,,,
c8296649-afde-4b08-9e54-c93fa9fcc1ee,maps.camera,premium,23.6,23.6,medium,low,4,namesilo,,,
3135c1c5-2c59-47df-b00b-ddb8d8a4bcbe,maps.viajes,available,37.99,37.99,medium,low,4,namesilo,,,
bb97ef63-499e-442a-b892-b20116d5d66f,maps.shoes,available,34.98,81.98,medium,low,4,namecheap,,,
4cf252ce-c3c1-42d6-89bd-c5a84e963c28,map.contractors,premium,42.9,42.9,high,medium,3,namecheap,,,
4c1a9c76-d771-4899-97a5-e59f736a871c,map.build,premium,3900,3900,high,medium,3,namecheap,,,
ba711ec6-c609-4d53-a5cc-a97f413f98ac,map.management,resell,,,high,medium,3,"eNom, LLC",23/03/2014 00:25,23/03/2027 00:25,
6266b409-20a3-4dc2-87ae-35225cac672e,spatial.tickets,available,359.99,488.88,medium,high,7,namesilo,,,10/09/2026 15:07
aaf49e12-66bb-4496-9233-973cd79cebca,geographic.how,available,30.98,41.98,low,low,10,namecheap,,,18/08/2026 22:27
f128afa8-f8f8-46bf-b33f-10617fcbb036,cartography.zone,available,51.98,,medium,high,11,namecheap,,,
fbee8ec4-3a8e-40ff-9593-525c1dfba93c,spatial.uno,premium,302.5,302.5,medium,high,7,namesilo,,,10/09/2026 15:07
ab22be39-f9d1-40ba-8ab7-1c4f0d38a3aa,map.boats,resell,,,high,medium,3,Namecheap,21/03/2026 04:28,21/03/2027 23:59,
8857296a-5973-4402-b353-0dc9a6138ab8,maps.baby,resell,,,medium,low,4,Dynadot LLC,08/02/2026 16:17,08/02/2027 23:59,
fe2f7f5c-eb21-4d2c-bedf-0cb0400c3a60,map.app,resell,,,high,medium,3,West263 International Limited,17/07/2019 03:35,17/07/2027 03:35,19/09/2026 09:26
3ef66007-66aa-41c6-adc9-048c6abdfdc2,map.juegos,available,478.98,,high,medium,3,namecheap,,,
85e6c7dd-45c9-4d04-8535-cebc42d39bff,map.game,premium,1690,1690,high,medium,3,namecheap,,,
38d831be-d5ef-48f2-98c1-8fde94c1c251,map.cfd,premium,167.38,669.5,high,medium,3,namecheap,,,
458ef96c-cfaf-42cc-9a04-624ba1f3c6fa,map.forex,available,19.99,,high,medium,3,name.com,,,
567bdf1c-3dd7-4a96-aaa5-5788dda5473b,map.info,resell,,,high,medium,3,"Sav.com, LLC",31/07/2001 20:14,31/07/2031 20:14,
fcf43082-2612-4ee4-b7ef-7833c3c6c06b,atlas.flights,available,58.99,58.99,medium,low,5,namesilo,,,20/09/2026 21:47
23c256ba-1aa2-4513-b272-8e38580a19a3,map.surf,premium,520,31.2,high,medium,3,namecheap,,,
e9f587ef-589e-496b-8262-22df578f0e46,map.ski,premium,4095,4095,high,medium,3,namecheap,,,
d8f9cbc8-477a-4ee2-b481-c17d7200b9f0,map.adult,available,,,high,low,3,,,,
67f5093d-952e-4090-ad2c-31eb7ec46ab8,map.sexy,premium,32500,32500,high,medium,3,namecheap,,,
fae69df2-9f35-46ea-8ab2-67e3c792a0ef,map.porn,available,,,high,low,3,,,,
182bd6d1-c871-4921-b1d6-c8216d2662a1,map.desi,available,22.98,,high,medium,3,namecheap,,,
d36ce1f6-e30d-4ca2-a02b-aa7b569eca9c,map.fishing,premium,104,31.2,high,medium,3,namecheap,,,
d48c3bc2-4c84-4d92-93e7-7f806b0e8d9a,map.kiwi,premium,186.08,,high,medium,3,name.com,,,
4303e05e-11ff-45a8-83fb-3eb8364920b4,map.fish,premium,85.8,85.8,high,medium,3,namecheap,,,
65257a18-79f2-4b64-9418-29307d089c7c,maps.bingo,available,14.99,77.99,medium,low,4,name.com,,,
4df6b673-b7c0-4be9-bbbb-a61c2f04541c,geographic.moda,available,19.99,52.99,low,low,10,name.com,,,18/08/2026 22:27
6873f4f2-2ec9-4780-b73e-dfac1a0082dd,map.observer,premium,1040,1040,high,medium,3,namecheap,,,
3e894807-cbe9-40b5-b9d3-a57dd3a13391,map.press,premium,325,650,high,medium,3,namecheap,,,
86652570-872a-4136-b051-5fce341be038,map.blog,premium,1625,6500,high,medium,3,namecheap,,,
a2061052-d592-47ca-9603-c9fea890a4ee,geographic.news,available,8.98,41.48,low,low,10,namecheap,,,18/08/2026 22:27
1e5278de-eb73-47cf-95a1-875588b3f1aa,continent.paris,available,65.99,65.99,low,low,9,name.com,,,11/08/2026 23:26
8bf10f36-4a5d-4be5-9095-98711f01fd9b,geographic.solutions,resell,,,low,low,10,"Spaceship, Inc.",14/03/2021 03:23,14/03/2027 03:23,18/08/2026 22:27
5fd4dd7a-2127-4fbf-b618-f5ec11d62c77,map.vote,available,49.99,,high,medium,3,name.com,,,
4faac124-4943-4af7-8edf-9c176bbc3998,map.voting,available,1448,,high,medium,3,namecheap,,,
89c3e42f-8121-47c1-8b49-62ebcc66eeac,geographic.srl,available,31.99,31.99,low,low,10,namesilo,,,18/08/2026 22:27
5ab47119-1a6e-4560-a840-1d0d68e927ab,map.channel,premium,1248.75,,high,medium,3,name.com,,,
98332dc0-c668-427b-86d4-9ae4b05a0996,map.cricket,premium,6500,130,high,medium,3,namecheap,,,
9f8df6bd-0d78-4b00-86d3-1743d1a99fb8,map.cam,premium,1950,18.2,high,medium,3,namecheap,,,
7762756e-9006-4e81-8d53-c4b97fa0a55c,map.webcam,premium,650,84.5,high,medium,3,namecheap,,,
1599998b-979d-45a9-abdd-966148d95fdd,map.graphics,premium,128.7,128.7,high,medium,3,namecheap,,,
35098a8d-53e7-4500-b7b9-9cc31c55aaa2,maps.loans,available,17.48,144.98,medium,low,4,namecheap,,,
749f2708-bdaf-48ce-9c7d-de6186e60ff3,map.website,premium,1625,3250,high,medium,3,namecheap,,,
b25f82b7-95ef-4fe2-a106-11917ea39af2,map.page,premium,1298.7,1298.7,high,medium,3,namecheap,,,
